"module name","license","repository"
"@socket.io/component-emitter@3.1.0","MIT","https://github.com/socketio/emitter"
"@types/cookie@0.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cors@2.8.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@18.14.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"accord@0.26.4","MIT","https://github.com/jenius/accord"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine"
"angular-multiple-select@1.1.3","MIT","https://github.com/jagdeep-singh/angularMultipleSelect"
"annotate-client@1.84.0","BSD-2-Clause","https://github.com/hypothesis/client"
"ansi-cyan@0.1.1","MIT","https://github.com/jonschlinkert/ansi-cyan"
"ansi-gray@0.1.1","MIT","https://github.com/jonschlinkert/ansi-gray"
"ansi-red@0.1.1","MIT","https://github.com/jonschlinkert/ansi-red"
"ansi-regex@0.2.1","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@1.1.0","MIT","https://github.com/sindresorhus/ansi-styles"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-wrap@0.1.0","MIT","https://github.com/jonschlinkert/ansi-wrap"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"append-buffer@1.0.2","MIT","https://github.com/doowb/append-buffer"
"archy@1.0.0","MIT","https://github.com/substack/node-archy"
"arr-diff@1.1.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@2.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ"
"array-each@1.0.1","MIT","https://github.com/jonschlinkert/array-each"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-slice@0.2.3","MIT","https://github.com/jonschlinkert/array-slice"
"array-slice@1.1.0","MIT","https://github.com/jonschlinkert/array-slice"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"async-each-series@0.1.1","MIT","https://github.com/jb55/async-each-series"
"async@1.5.2","MIT","https://github.com/caolan/async"
"async@2.6.4","MIT","https://github.com/caolan/async"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"axios@0.21.4","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64id@2.0.0","MIT","https://github.com/faeldt/base64id"
"base@0.11.2","MIT","https://github.com/node-base/base"
"batch@0.6.1","MIT","https://github.com/visionmedia/batch"
"beeper@1.1.1","MIT","https://github.com/sindresorhus/beeper"
"binary-extensions@2.2.0","MIT","https://github.com/sindresorhus/binary-extensions"
"body-parser@1.14.2","MIT","https://github.com/expressjs/body-parser"
"bower@1.8.14","MIT","https://github.com/bower/bower"
