"module name","license","repository"
"ckeditor@4.12.1","GNU","https://ckeditor.com/ckeditor-4"
"cuid@1.3.8","MIT","https://www.npmjs.com/package/cuid"
"dateFormat@1.2.3","MIT","https://gist.github.com/eralston/968809"
"jqTree@1.4.9","Apache License","https://mbraak.github.io/jqTree"
"jquery@3.2.1","MIT","https://jquery.com"
"jsTree@3.3.2","MIT","https://www.jstree.com"
"lodash@4.15.0-amd","MIT","https://lodash.com"
"loglevel@1.4.0","MIT","https://github.com/pimterry/loglevel"
"native-promise-only@0.8.1","MIT","https://www.npmjs.com/package/native-promise-only"
"noUiSlider@10.0.0","MIT","https://www.npmjs.com/package/nouislider/v/10.0.0"
"postal.diagnostics@.0.0.0","MIT","https://github.com/postaljs/postal.diagnostics"
"postal.js@2.0.0","MIT","http://github.com/postaljs/postal.js"
"Ref2Link@1.2.3","EUPL","https://ec.europa.eu/isa2/solutions/ref2link_en"
"requirejs-domready@2.0.1","MIT","http://github.com/requirejs/domReady"
"requirejs-promise@1.2.0","MIT","https://github.com/jokeyrhyme/requirejs-promise"
"requirejs-text@2.0.15","MIT","https://github.com/requirejs/text"
"requirejs@2.3.3","MIT","https://github.com/requirejs/requirejs"
"stampit@1.2.0","MIT","https://github.com/stampit-org/stampit"
"waypoints@4.0.0","MIT","https://github.com/imakewebthings/waypoints"
"wNumb@1.1.0","MIT","https://github.com/leongersen/wnumb/releases"

